pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,opponent_team
SI,2025-06-22,98.1,-1.6,5.93,"Alcantara, Sandy",686948,645261,,ball,,,,,13,Drake Baldwin walks.,R,L,R,MIA,ATL,B,,,2,1,2025,-1.51,0.5,-1.56,2.25,,,,1,6,Top,,,,,,,3.566306266705469,-142.74270714065167,-5.5359949044053405,-21.438612763777897,35.558939147700414,-24.21025031162544,3.41,1.55,,,,97.0,2322,5.8,777402,663743,676572,669364,691594,672640,669065,667472,660821,54.65,,,,,,,,48,4,Sinker,4,2,2,4,2,4,2,4,Infield shade,Standard,234,0.0,0.122,,,,-0.122,,2,-2,0.819,0.181,29,24,30,24,3,2,6,1,6,2,1.88,1.51,-1.51,29.0,,,,,,ATL
FF,2025-06-22,98.3,-1.44,5.95,"Alcantara, Sandy",686948,645261,,ball,,,,,14,Drake Baldwin walks.,R,L,R,MIA,ATL,B,,,1,1,2025,-1.18,1.13,1.47,1.94,,,,1,6,Top,,,,,,,10.564221860486978,-142.4935151064816,-7.897467139935949,-18.67261768891868,35.45229052463302,-14.9956149134653,3.41,1.52,,,,97.4,2313,6.2,777402,663743,676572,669364,691594,672640,669065,667472,660821,54.31,,,,,,,,48,3,4-Seam Fastball,4,2,2,4,2,4,2,4,Infield shade,Standard,232,0.0,0.059,,,,-0.059,,2,-2,0.819,0.181,29,24,30,24,3,2,6,1,6,2,1.26,1.18,-1.18,31.1,,,,,,ATL
FF,2025-06-22,97.2,-1.44,5.98,"Alcantara, Sandy",686948,645261,,foul,,,,,5,Drake Baldwin walks.,R,L,R,MIA,ATL,S,,,1,0,2025,-1.18,1.15,0.1,2.6,,,,1,6,Top,,,,,,,6.783367029431977,-141.23512556273073,-6.076881093101947,-17.340977720724368,36.29273148966396,-15.517159076280294,3.39,1.59,237.0,79.6,45.0,96.2,2421,6.1,777402,663743,676572,669364,691594,672640,669065,667472,660821,54.42,,,,,,,,48,2,4-Seam Fastball,4,2,2,4,2,4,2,4,Infield shade,Standard,235,0.0,-0.051,74.8,6.3,,0.051,88.0,2,-2,0.819,0.181,29,24,30,24,3,2,6,1,6,2,1.29,1.18,-1.18,29.2,-4.015205541301174,17.500707496185324,38.90376844069051,35.774962697801875,20.02913447516661,ATL
SL,2025-06-22,88.6,-1.76,6.04,"Alcantara, Sandy",686948,645261,,ball,,,,,11,Drake Baldwin walks.,R,L,R,MIA,ATL,B,,,0,0,2025,-0.1,0.41,-1.02,2.91,,,,1,6,Top,,,,,,,1.9914103826094312,-128.9958914951663,-2.377735765890143,-1.559151609547854,29.56546337373852,-27.30652281526606,3.38,1.51,,,,87.2,2307,5.6,777402,663743,676572,669364,691594,672640,669065,667472,660821,54.92,,,,,,,,48,1,Slider,4,2,2,4,2,4,2,4,Infield shade,Standard,223,0.0,0.039,,,,-0.039,,2,-2,0.819,0.181,29,24,30,24,3,2,6,1,6,2,2.51,0.1,-0.1,33.6,,,,,,ATL
SI,2025-06-22,98.1,-1.56,5.94,"Alcantara, Sandy",542303,645261,field_out,hit_into_play,,,,,1,"Marcell Ozuna grounds out, shortstop Otto Lopez to first baseman Eric Wagaman.",R,R,R,MIA,ATL,X,6.0,ground_ball,1,2,2025,-1.37,0.66,-0.48,3.59,,,,0,6,Top,118.6,146.8,,,,,6.03824531214538,-142.60772113937043,-2.331049124310849,-20.057238223013997,36.13362864620923,-22.88181859182177,3.55,1.75,17.0,78.7,-10.0,97.2,2371,6.1,777402,663743,676572,669364,691594,672640,669065,667472,660821,54.42,0.1,0.093,0.0,1.0,0.0,0.0,2.0,47,4,Sinker,4,2,2,4,2,4,2,4,Standard,Standard,236,0.03,-0.186,64.1,5.7,0.128,0.186,88.0,2,-2,0.789,0.211,29,34,30,35,3,2,6,1,6,1,1.73,1.37,1.37,34.0,11.814971281029452,15.50856382548005,22.84054609668521,27.82727097594769,25.68403926731532,ATL
CH,2025-06-22,90.3,-1.68,5.94,"Alcantara, Sandy",542303,645261,,foul,,,,,7,"Marcell Ozuna grounds out, shortstop Otto Lopez to first baseman Eric Wagaman.",R,R,R,MIA,ATL,S,,,1,1,2025,-1.48,0.58,-0.57,2.25,,,,0,6,Top,,,,,,,5.879974330833052,-131.29781121882075,-4.4696942313311805,-18.36095325822351,27.45217734651777,-24.76449232536013,3.55,1.75,9.0,91.7,-14.0,90.2,2174,6.3,777402,663743,676572,669364,691594,672640,669065,667472,660821,54.23,,,,,,,,47,3,Changeup,4,2,2,4,2,4,2,4,Standard,Standard,238,0.0,-0.056,74.8,7.5,,0.056,91.7,2,-2,0.789,0.211,29,34,30,35,3,2,6,1,6,1,2.22,1.48,1.48,31.7,22.896722349322506,-8.94938549507913,40.73192432378818,28.52596067917221,36.02304641395192,ATL
SL,2025-06-22,90.2,-1.65,5.93,"Alcantara, Sandy",542303,645261,,foul,,,,,6,"Marcell Ozuna grounds out, shortstop Otto Lopez to first baseman Eric Wagaman.",R,R,R,MIA,ATL,S,,,1,0,2025,-0.25,0.51,0.31,2.47,,,,0,6,Top,,,,,,,5.398876118384255,-131.25731883599033,-3.701046945156344,-4.117864482152321,28.817223174328547,-25.705201102197154,3.55,1.75,201.0,80.0,63.0,89.9,2287,6.2,777402,663743,676572,669364,691594,672640,669065,667472,660821,54.3,,,,,,,,47,2,Slider,4,2,2,4,2,4,2,4,Standard,Standard,222,0.0,-0.049,76.0,7.3,,0.049,88.0,2,-2,0.789,0.211,29,34,30,35,3,2,6,1,6,1,2.3,0.25,0.25,30.9,11.7327968569789,-0.1399752017235023,33.561742505279256,37.488952638136425,37.805773085927584,ATL
FF,2025-06-22,96.0,-1.64,5.93,"Alcantara, Sandy",542303,645261,,ball,,,,,14,"Marcell Ozuna grounds out, shortstop Otto Lopez to first baseman Eric Wagaman.",R,R,R,MIA,ATL,B,,,0,0,2025,-0.99,1.2,1.29,2.45,,,,0,6,Top,,,,,,,9.872863196946794,-139.3703962913332,-6.205408221948776,-15.255417454225032,34.0144669600411,-15.243503928726698,3.52,1.67,,,,94.6,2335,5.8,777402,663743,676572,669364,691594,672640,669065,667472,660821,54.72,,,,,,,,47,1,4-Seam Fastball,4,2,2,4,2,4,2,4,Standard,Standard,232,0.0,0.038,,,,-0.038,,2,-2,0.789,0.211,29,34,30,35,3,2,6,1,6,1,1.3,0.99,0.99,29.1,,,,,,ATL
FF,2025-06-22,99.0,-1.55,5.98,"Alcantara, Sandy",663586,645261,field_out,hit_into_play,,,,,1,Austin Riley flies out to left fielder Kyle Stowers.,R,R,R,MIA,ATL,X,7.0,fly_ball,2,2,2025,-1.16,1.16,-0.67,3.0,,,,2,5,Top,76.43,80.04,,,,,5.052591602797882,-143.98359544702376,-5.304163214563073,-17.24179785066771,37.77969272373512,-15.05209631966476,3.5,1.63,318.0,97.3,44.0,97.8,2368,6.0,777402,663743,676572,669364,691594,672640,669065,667472,660821,54.55,0.031,0.052,0.0,1.0,0.0,0.0,3.0,39,6,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,234,0.014,-0.219,77.9,7.1,0.097,0.219,97.3,0,0,0.551,0.449,29,28,30,28,3,2,6,1,6,1,1.19,1.16,1.16,31.1,26.62857234851701,-9.086397165190638,23.862961670397183,29.346678557776144,38.9554991723887,ATL
FF,2025-06-22,99.2,-1.49,5.99,"Alcantara, Sandy",663586,645261,,foul,,,,,4,Austin Riley flies out to left fielder Kyle Stowers.,R,R,R,MIA,ATL,S,,,2,2,2025,-1.23,1.03,-0.41,2.75,,,,2,5,Top,,,,,,,5.848028954605592,-144.15658856575158,-5.80014150881894,-18.55445680783083,36.59960230683856,-16.577964763210538,3.5,1.63,290.0,89.5,40.0,98.8,2351,6.4,777402,663743,676572,669364,691594,672640,669065,667472,660821,54.15,,,,,,,,39,5,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,236,0.0,0.0,70.0,6.4,,0.0,89.5,0,0,0.551,0.449,29,28,30,28,3,2,6,1,6,1,1.31,1.23,1.23,32.9,3.247559164628448,8.229929610008679,33.62137694943204,31.76365357473507,26.3407342541675,ATL
