Pitch Type,Zone,Total Pitches,Balls in Play,Hit Safely Pitches,Field Out Pitches,Batting Average (BIP),Total Swings,Total Whiffs,Whiff Rate,Field Out Rate (BIP)
SL,7,93,25,9,13,0.360,64,10,0.156,0.520
SL,8,160,62,25,30,0.403,129,29,0.225,0.484
SL,9,224,67,25,35,0.373,161,29,0.180,0.522
SL,11,93,2,0,2,0.000,4,0,0.000,1.000
SL,12,111,4,0,3,0.000,23,13,0.565,0.750
SL,13,252,19,8,9,0.421,91,39,0.429,0.474
SL,14,959,72,30,34,0.417,298,157,0.527,0.472
ST,1,8,1,0,1,0.000,2,0,0.000,1.000
ST,2,11,2,0,2,0.000,5,1,0.200,1.000
ST,3,11,1,0,1,0.000,5,2,0.400,1.000
ST,4,20,6,0,6,0.000,12,4,0.333,1.000
ST,5,23,6,0,5,0.000,12,2,0.167,0.833
ST,6,30,7,4,2,0.571,23,7,0.304,0.286
ST,7,5,3,0,0,0.000,3,0,0.000,0.000
ST,8,22,10,3,7,0.300,17,1,0.059,0.700
ST,9,33,14,5,7,0.357,21,3,0.143,0.500
ST,11,17,3,1,2,0.333,3,0,0.000,0.667
ST,12,24,0,0,0,0.000,2,2,1.000,0.000
ST,13,19,2,0,1,0.000,6,3,0.500,0.500
ST,14,151,19,5,14,0.263,54,21,0.389,0.737
SV,2,4,1,0,1,0.000,1,0,0.000,1.000
SV,4,4,1,1,0,1.000,2,0,0.000,0.000
SV,5,3,2,0,1,0.000,3,1,0.333,0.500
SV,7,4,2,0,2,0.000,4,1,0.250,1.000
SV,13,7,0,0,0,0.000,1,1,1.000,0.000
SV,14,7,1,0,1,0.000,3,1,0.333,1.000
