pitch_type,release_speed,release_spin_rate,spin_axis,release_extension,release_pos_x,release_pos_y,release_pos_z,vx0,vy0,vz0,pfx_x,pfx_z,sz_top,sz_bot,api_break_z_with_gravity,api_break_x_batter_in,api_break_x_arm,arm_angle,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,effective_speed
CH,91.0884327240036,2010.372295673077,239.4129129129129,6.017161716171618,-2.0754360203775843,54.48279592448307,6.015421036859454,7.163036861444475,-132.3767715374753,-5.299335762488342,-1.3803626011387475,0.31872340425531914,3.371417440815103,1.594471081810009,2.4435301168714414,-0.579223853760863,1.3803626011387475,35.21664249456128,,,,,90.51599159915992
CU,83.65026809651474,2449.9890260631,58.94638069705094,5.635656836461126,-2.0173860589812334,54.86355227882037,6.020938337801608,3.6734959874008677,-121.70690913632515,-2.5049543454503076,0.347573726541555,-0.2822922252010724,3.342412868632708,1.5759249329758716,3.601608579088472,0.10650134048257373,-0.347573726541555,34.93621867881549,,,,,82.72680965147453
FF,97.21918753193664,2271.099744245524,226.42531969309462,5.9135003835336235,-2.1646090955544204,54.58679100664283,5.997399080224834,7.62038065818745,-141.2498427078493,-5.49339697504102,-0.935408788962698,1.1670592743995911,3.36926673479816,1.5990776699029126,1.272233009708738,-0.2804215636177823,0.935408788962698,33.029126213592235,,,,,96.32302379125096
PO,93.1,2105.0,236.0,5.7,-2.7,54.8,5.94,-1.5846787939434877,-135.48588935750348,-0.7844775057637563,-0.79,1.36,3.35,1.51,1.3,-0.79,0.79,28.8,,,,,91.6
SI,96.99792521109771,2335.829150579151,232.87478890229193,5.922085445329472,-2.197742402315485,54.57707187650748,5.9837385431741446,7.905627702491058,-140.92320148418437,-5.539680340300009,-1.4555812831644959,0.6334949348769898,3.3808514230583695,1.5956054027978774,1.8130945489628558,0.35383502170767006,1.4555812831644959,33.16779940613659,,,,,96.16904129437334
SL,88.98162949194548,2385.3544384346164,162.88042131350682,5.831298419584753,-2.159628252788104,54.66806691449814,5.9678717472118965,5.761654150926414,-129.408213623957,-4.419713159454717,0.0750898389095415,0.25931536555142504,3.3639807930607186,1.5865334572490706,2.6487267657992564,0.0015458488228004958,-0.0750898389095415,34.08355704697986,,,,,88.24127672761078
